id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1210065,Gagetown Boathouse a waterfront year-round retreat,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,215,2,3,2021-10-16,0.26,1,165,3,
1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,140,1,48,2022-06-10,0.55,10,140,9,
1264655,"The Maples, NB Country Farmhouse",6885464,Gary,York,Bright,45.97722,-66.84614,Entire home/apt,142,2,147,2022-06-18,1.36,1,322,13,
1266591,"Beautiful King Suite, Victorian Mansion",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,185,1,83,2022-06-13,0.99,7,315,13,
1489389,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Private room,35,1,69,2022-05-22,0.80,5,321,6,
1806151,"Waterfront cottage, relaxing and fun get away!",4253971,Roxanne,Kent,Richibucto,46.68234,-64.80627,Entire home/apt,150,2,125,2022-06-14,1.28,1,131,26,
11768875,Cottage Chic Annex - Private Downtown Waterfront,10898681,Janis,Charlotte,Saint Andrews,45.07393,-67.05364,Entire home/apt,233,2,114,2022-06-18,2.26,2,295,21,
11789043,Beautiful Waterfront Rental,62784260,Danielle,Kent,Dundas,46.34849,-64.61245,Entire home/apt,250,4,37,2022-06-08,0.61,1,142,9,
11859312,Simplement Chouette! (N.-B.),63213456,Sylvie Et Gordon,Restigouche,Colborne,47.96196,-66.16601,Entire home/apt,89,4,92,2019-09-28,1.27,2,1,0,
11885501,"Professional Home, Country Setting",63377885,John,Kings,Norton,45.56746,-65.80302,Entire home/apt,300,2,20,2018-08-25,0.28,1,174,0,
11887721,Bachelor on a Budget,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27876,-66.06006,Entire home/apt,165,1,145,2022-06-21,1.97,7,174,5,
15751243,West Hills Pvte. 2-Bdrm Guest Suite /w Kitchenette,82694424,Cara & Scott,York,Fredericton,45.9935,-66.6472,Entire home/apt,129,2,208,2022-06-20,3.03,1,43,20,
11910245,"A.N.D. Ecovillage, we are an off-grid homestead",63538612,Darius,Carleton,Brighton,46.42057,-67.35478,Private room,100,1,1,2021-09-04,0.10,2,178,1,
15764884,Old Sackville,101934533,Jacques,Westmorland,Sackville,45.89648,-64.37792,Private room,70,2,26,2022-05-03,0.38,1,352,4,
11928058,Lakeside Retreat 3bdr Private House,45404734,Catherine,Charlotte,Saint George,45.18653,-66.77746,Entire home/apt,475,1,71,2022-06-19,0.98,1,287,16,
